candidate	count	final	score
成也成	40	263.9515049274872	6.598787623187179
哈哈哈哈哈哈哈	40	229.21692920858985	5.730423230214746
英雄	24	221.79119403445068	9.241299751435445
再来	34	194.10697332214676	5.709028627121963
牛逼	21	188.18867532536296	8.961365491683951
hhhhhhh	22	169.74312549042006	7.715596613200912
正方	16	137.31063845943228	8.581914903714518
王冠	14	131.8369099163824	9.416922136884459
你就成	20	119.84680477998455	5.992340238999228
高能	16	115.82743048705935	7.239214405441209
余磊	10	95.30594272524266	9.530594272524265
周玄毅	10	94.32982354921944	9.432982354921943
败也不败	16	91.95154235967543	5.746971397479714
这个	11	87.76176182535711	7.978341984123373
厉害	8	87.45857371614197	10.932321714517746
反方	9	83.86122098906412	9.317913443229347
上头	11	80.92287958039252	7.35662541639932
袁丁	7	75.07504694231962	10.72500670604566
老师	7	73.42781772100226	10.489688245857465
原版	7	73.3652630385351	10.480751862647873
辩论	8	73.00307715867902	9.125384644834877
我说不败就不败	13	68.12249574734037	5.240191980564644
什么	6	65.12447957577336	10.854079929295562
卧槽	6	62.69152016849726	10.448586694749544
最后	6	60.20129517282421	10.033549195470702
ll	9	58.187078457910715	6.465230939767857
出不去了	8	52.20493298424934	6.525616623031167
知道	5	51.11236519892625	10.22247303978525
失败	8	50.14137113518913	6.2676713918986415
现在	6	50.10891237248753	8.351485395414588
皆为利	5	49.047032368517364	9.809406473703472
来一遍	10	45.04714188756944	4.504714188756944
谁是	6	43.704356130247945	7.2840593550413235
天下攘攘皆	4	42.209336133394416	10.552334033348604
我又	8	39.87695995868991	4.984619994836239
同学	4	39.19425709240476	9.79856427310119
弹幕	3	37.15058032146704	12.383526773822346
不去	9	37.06757248487901	4.118619164986557
右上角	3	35.27025513990988	11.756751713303293
可惜	3	35.15058032146704	11.71686010715568
素材	3	34.939683538968424	11.64656117965614
5555	4	34.62545884049799	8.656364710124498
超级	3	33.90546782363051	11.301822607876836
50	4	32.44970343022965	8.112425857557412
女神	3	30.90546782363051	10.301822607876836
我同意	3	29.38041148619733	9.79347049539911
ffffff	3	28.39464026751849	9.46488008917283
时间	3	27.80445618624377	9.268152062081256
觉得	3	27.226520952416585	9.075506984138862
辩题	4	26.678982330421242	6.6697455826053105
那个	3	26.505849165591023	8.835283055197008
真的	5	26.124286337890446	5.2248572675780895
啦啦啦	3	25.967900914947524	8.655966971649175
大佬	3	25.471633450253112	8.490544483417704
加上道德	2	24.94781055232249	12.473905276161245
星辰者	2	24.84683675993992	12.42341837996996
拿破仑	2	24.84683675993992	12.42341837996996
dd	3	24.773136570385304	8.257712190128435
承包	2	24.767053547644696	12.383526773822348
开头	3	24.505849165591027	8.168616388530342
出品必	2	23.676911758497607	11.838455879248803
百万	2	23.59712854620238	11.79856427310119
节奏	2	23.59712854620238	11.79856427310119
经典	2	23.59712854620238	11.79856427310119
小姐姐	2	22.84683675993992	11.42341837996996
踩点	2	22.767053547644696	11.383526773822348
第几遍	3	22.451199656690626	7.483733218896876
都是	4	22.392498219840395	5.598124554960099
方说的	3	22.081533264369007	7.360511088123003
rap	2	21.676911758497607	10.838455879248803
作文	2	21.59712854620238	10.79856427310119
40	2	21.152343703529485	10.576171851764743
回来	4	20.595039458174202	5.148759864543551
嘿嘿	2	20.59061187665109	10.295305938325544
建议你去看看原	2	20.436879216907275	10.218439608453638
没有	3	20.351071804212495	6.783690601404165
怎么	2	20.12319735786997	10.061598678934985
看见	3	19.91913032660726	6.639710108869086
让我	3	19.845966242080856	6.615322080693618
语文老师放过	2	19.82240891580889	9.911204457904445
皆為利	2	19.676911758497607	9.838455879248803
又又	3	19.58441469484444	6.528138231614813
陆丰人在	2	19.333100708207283	9.666550354103641
喜欢	2	19.116680688318677	9.558340344159339
哇哇	2	18.767053547644696	9.383526773822348
此处	2	18.59061187665109	9.295305938325544
up	2	18.59061187665109	9.295305938325544
我看过原	2	18.192355646938918	9.096177823469459
的谢谢	2	16.758615924443117	8.379307962221558
爱了	3	16.750961663427553	5.583653887809184
大家	2	16.59061187665109	8.295305938325544
武大	2	16.59061187665109	8.295305938325544
一次	3	16.394841714473415	5.464947238157805
誰是	2	16.196249109920196	8.098124554960098
当时	2	16.152343703529485	8.076171851764743
男人	2	16.145827033978193	8.072913516989097
他们	2	16.034976522373167	8.017488261186584
我想看	2	15.101852471057187	7.5509262355285935
本来就	2	14.938444139166167	7.4692220695830835
看了一	2	14.921456853114032	7.460728426557016
了他	3	14.001884722108507	4.667294907369502
听听	2	13.923945209984424	6.961972604992212
太帅了	2	13.863130567280567	6.931565283640284
一句	2	13.671748639376498	6.835874319688249
去看	3	13.05837782184763	4.352792607282543
他来了他来了	2	12.402990491322747	6.2014952456613734
说服了	2	12.02653889917159	6.013269449585795
he	2	10.01784081122116	5.00892040561058
看到	2	9.852144257319651	4.9260721286598255
是精	2	9.70853673037075	4.854268365185375
这么	2	9.472903548186883	4.7364517740934415
